PhysID,ITM_1,ITM_2,ITM_3,ITM_4,ITM_5,ITM_6,ITM_7
1508058009,GENDER_M,HYDROCODONE,SPCLTY_Physician Assistant,STATE_WV,TRAMADOL,,
1508067885,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_TX,,,
1508070244,GENDER_M,OXYCODONE,SPCLTY_Family Practice,STATE_WI,TRAMADOL,,
1508072224,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_NJ,TRAMADOL,,
1508073198,GENDER_M,HYDROCODONE,SPCLTY_Physician Assistant,STATE_IL,,,
1508073362,GENDER_F,OXYCODONE,SPCLTY_Family Practice,STATE_NJ,TRAMADOL,,
1508077801,GENDER_F,HYDROCODONE,SPCLTY_Dermatology,STATE_FL,,,
1508078098,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_MI,,,
1508078932,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Emergency Medicine,STATE_OK,TRAMADOL,
1508082157,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_CA,TRAMADOL,,
1508084690,GENDER_M,HYDROCODONE,SPCLTY_Hand Surgery,STATE_MO,,,
1508085119,GENDER_M,HYDROCODONE,SPCLTY_Dentist,STATE_WI,,,
1508087255,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Emergency Medicine,STATE_UT,,
1508092305,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_IL,,,
1508095977,GENDER_M,HYDROCODONE,SPCLTY_General Surgery,STATE_OK,,,
1508118472,GENDER_F,HYDROCODONE,SPCLTY_Physician Assistant,STATE_IL,,,
1508121187,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_NC,TRAMADOL,,
1508130436,GENDER_F,HYDROCODONE,SPCLTY_Dentist,STATE_FL,,,
1508131814,GENDER_M,SPCLTY_Student in an Organiz,STATE_LA,TRAMADOL,,,
1508138447,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_CA,TRAMADOL,,
1508140047,GENDER_F,OXYCODONE,SPCLTY_Emergency Medicine,STATE_FL,,,
1508144239,GENDER_F,SPCLTY_Nurse Practitioner,STATE_WV,TRAMADOL,,,
1508145665,GENDER_F,OXYCODONE,SPCLTY_Podiatry,STATE_PA,,,
1508150723,GENDER_F,HYDROCODONE,SPCLTY_Plastic Surgery,STATE_PA,,,
1508151572,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_CA,TRAMADOL
1508157330,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_MO,,,
1508157983,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_OH,TRAMADOL,
1508158700,GENDER_M,OXYCODONE,SPCLTY_Student in an Organiz,STATE_NH,,,
1508171943,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_TN,TRAMADOL,
